"Website","Product Name","Price","Image URL","Specification 1","Specification 2","Specification 3","Specification 4","Specification 5","Specification 6","Specification 7","Specification 8","Specification 9","Specification 10","Specification 11","Specification 12","Specification 13","Specification 14","Specification 15","Specification 16","Specification 17","Specification 18","Specification 19","Specification 20","Specification 21","Specification 22","Specification 23","Specification 24","Specification 25","Specification 26","Specification 27","Specification 28","Specification 29","Specification 30","Specification 31","Specification 32","Specification 33","Specification 34","Specification 35","Specification 36","Specification 37","Specification 38","Specification 39","Specification 40","Specification 41","Specification 42","Specification 43","Specification 44","Specification 45","Specification 46","Specification 47","Specification 48","Specification 49","Specification 50","Specification 51","Specification 52","Specification 53","Specification 54","Specification 55","Specification 56","Specification 57","Specification 58","Specification 59","Specification 60","Specification 61","Specification 62","Specification 63","Specification 64","Specification 65","Specification 66","Specification 67","Specification 68","Specification 69","Specification 70","Specification 71","Specification 72","Specification 73","Specification 74","Specification 75","Specification 76","Specification 77","Specification 78","Specification 79","Specification 80","Specification 81","Specification 82","Specification 83","Specification 84","Specification 85","Specification 86","Specification 87","Specification 88","Specification 89","Specification 90","Specification 91","Specification 92","Specification 93","Specification 94","Specification 95","Specification 96","Specification 97","Specification 98","Specification 99","Specification 100","Specification 101","Specification 102","Specification 103","Specification 104","Specification 105","Specification 106","Specification 107","Specification 108","Specification 109","Specification 110","Specification 111","Specification 112","Specification 113","Specification 114","Specification 115"
"TEHNO MARKET","TESLA Portable TTMYW-12CHW 12000btu","22999.00 ден","https://d3mrte3vpewnxc.cloudfront.net/img/products/full/thumbs/ttmy-12chw2.jpg","ЕНЕРГЕТСКА КЛАСА (SEER/SCOP):A","МАКСИМАЛЕН КАПАЦИТЕТ НА ЛАДЕЊЕ:3500.00 W","МАКСИМАЛЕН КАПАЦИТЕТ НА ГРЕЕЊЕ:3200.00 W","ПРОСЕЧНА МОЌНОСТ:3500/2900 W","ВЛЕЗНА МОЌНОСТ ЛАДЕЊЕ:1345 W","ВЛЕЗНА МОЌНОСТ ГРЕЕЊЕ:1130 W","ПРОТОК НА ВОЗДУХ:390.00;330.00;280.00 m3","КАПАЦИТЕТ НА ОДВЛАЖНУВАЊЕ:1.70 l/h","НИВО НА БУЧАВА:65 dB","РАБОТНА ТЕМПЕРАТУРА:ОД 0 ℃ ДО 0 ℃","МАСА ВНАТРЕШНА ЕДИНИЦА:27.50 kg","ПРЕПОРАЧАНА ПОВРШИНА:до 30 м2","ФРЕОН:R290","ФИЛТРИ:Филтер за прашина","ДИМЕНЗИИ НА ЕДИНИЦАТА:358x419x688 mm","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TEHNO MARKET","TESLA Advance TA36QQCT-1232IAWT 12000btu","24999.00 ден","https://d3mrte3vpewnxc.cloudfront.net/img/products/full/thumbs/ta36qqct-1232iawt.jpg","ЕНЕРГЕТСКА КЛАСА (SEER/SCOP):A++ (6.1/4.0)","МАКСИМАЛЕН КАПАЦИТЕТ НА ЛАДЕЊЕ:4100.00 W","МАКСИМАЛЕН КАПАЦИТЕТ НА ГРЕЕЊЕ:4200.00 W","ПРОСЕЧНА МОЌНОСТ:3500/3800 W","ВЛЕЗНА МОЌНОСТ ЛАДЕЊЕ:1180 W","ВЛЕЗНА МОЌНОСТ ГРЕЕЊЕ:1100 W","ПРОТОК НА ВОЗДУХ:600.00 m3","КАПАЦИТЕТ НА ОДВЛАЖНУВАЊЕ:1.70 l/h","НИВО НА БУЧАВА:dB(A) 36/40/45/48/56 dB","РАБОТНА ТЕМПЕРАТУРА:ОД -25 ℃ ДО 49 ℃","МАСА ВНАТРЕШНА ЕДИНИЦА:7.50 kg","МАСА НАДВОРЕШНА ЕДИНИЦА:22.50 kg","ПРЕПОРАЧАНА ПОВРШИНА:до 35 м2","ФРЕОН:R32","ФИЛТРИ:Филтер за прашина","ДИМЕНЗИИ НАДВ. ЕДИНИЦА:705 X 530 X 280 mm","ДИМЕНЗИИ ВНАТР. ЕДИНИЦА:825 × 595 ×345 mm","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TEHNO MARKET","TESLA Black Style TT34EX82BM-1232IAW 12000btu","24999.00 ден","https://d3mrte3vpewnxc.cloudfront.net/img/products/full/thumbs/tt34ex82bm-1232iaw.jpg","ЕНЕРГЕТСКА КЛАСА (SEER/SCOP):A++ (6.1/4.0)","МАКСИМАЛЕН КАПАЦИТЕТ НА ЛАДЕЊЕ:3770.00 W","МАКСИМАЛЕН КАПАЦИТЕТ НА ГРЕЕЊЕ:3810.00 W","ПРОСЕЧНА МОЌНОСТ:3400/3500 W","ВЛЕЗНА МОЌНОСТ ЛАДЕЊЕ:1130 W","ВЛЕЗНА МОЌНОСТ ГРЕЕЊЕ:922 W","ПРОТОК НА ВОЗДУХ:550.00 m3","КАПАЦИТЕТ НА ОДВЛАЖНУВАЊЕ:1.20 l/h","НИВО НА БУЧАВА:50/47/43/35/32 dB","РАБОТНА ТЕМПЕРАТУРА:ОД -20 ℃ ДО 53 ℃","МАСА ВНАТРЕШНА ЕДИНИЦА:8.00 kg","МАСА НАДВОРЕШНА ЕДИНИЦА:42.00 kg","ПРЕПОРАЧАНА ПОВРШИНА:до 35 м2","ФРЕОН:R32","ФИЛТРИ:Филтер за прашина","ДИМЕНЗИИ НАДВ. ЕДИНИЦА:777 × 498 × 290mm","ДИМЕНЗИИ Внатр. ЕДИНИЦА:777 × 250 × 201 mm","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TEHNO MARKET","VIVAX COOL 12000BTU ACP-12PT35AEFs R290 мобилен клима уред","23999.00 ден","https://d3mrte3vpewnxc.cloudfront.net/img/products/full/thumbs/090620221018572pt35aefs-r290-slika_643_364(1","ЕНЕРГЕТСКА КЛАСА (EER/COP): A (2.6 / 0 )","ТИП КОМПРЕСОР :ИНВЕРТЕР","МАКСИМАЛЕН КАПАЦИТЕТ НА ЛАДЕЊЕ: 3517 W","ВЛЕЗНА МОЌНОСТ ЛАДЕЊЕ: 1350 W","ПРОТОК НА ВОЗДУХ: 420 M³/H","КАПАЦИТЕТ НА ОДВЛАЖНУВАЊЕ: 1 L/H","НИВО НА БУЧАВА: 51 DB (A)","МАСА ВНАТРЕШНА ЕДИНИЦА: 33.5 KG","ПРЕПОРАЧАНА ПОВРШИНА: 35 M","ФРЕОН: R290","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TEHNO MARKET","NEO SMARTs SILVER LINE INVERTER 12000BTU","23999.00 ден","https://d3mrte3vpewnxc.cloudfront.net/img/products/full/thumbs/neosmartsivo.jpg","Интелигентен дизајн","ПРЕПОРАЧАНА ПОВРШИНА 35 М2","ЕНЕРГЕТСКА КЛАСА (SEER/SKOP) A++(6.1/4.0)","МАКСИМАЛЕН КАПАЦИТЕТ НА ЛАДЕЊЕ 3600 W","МАКСИМАЛЕН КАПАЦИТЕТ НА ГРЕЕЊЕ 4400 W","ПРОСЕЧНА МОЌНОСТ 3200/3400 W","ВЛЕЗНА МОЌНОСТ НА ЛАДЕЊЕ 991 W","ВЛЕЗНА МОЌНОСТ НА ГРЕЕЊЕ 916 W","ПРОТОК НА ВОЗДУХ 550 М3","КАПАЦИТЕТ НА ОДВЛАЖНУВАЊЕ 1.40 Л/Ч","НИВО НА БУЧАВОСТ 42 ДБ","РАБОТНА ТЕМПЕРАТУРА -15 ДО 43 СТЕПЕНИ ЦЕЛЗИУСОВИ","МАСА НА ВНАТРЕШНА ЕДИНИЦА 8 КГ","МАСА НА НАДВОРЕШНА ЕДИНИЦА 25 КГ","ДИМИНЗИИ ВНАТРЕШНА ЕДИНИЦА 773X250X185","ДИМЕНЗИИ НАДВОРЕШНА ЕДИНИЦА 732X555X330","ФРЕОН R32","ФИЛТРИ- БИО ФИЛТЕР, ФИЛТЕР ЗА ПРАШИНА","I Feel , Auto Restart. Turbo,wifi","5 ГОДИНИ УСЛОВНА ГАРАНЦИЈА","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TEHNO MARKET","VIVAX COOL 9000BTU ACP-09CH25AERI+","27999.00 ден","https://d3mrte3vpewnxc.cloudfront.net/img/products/full/thumbs/aeri.jpg","КАПАЦИТЕТ НА ЛАДЕЊЕ 2,64 KW","КАПАЦИТЕТ НА ГРЕЕЊЕ 2,93 KW","ЕКОЛОШКИ ПЛИН R410A","ЕНЕРГЕТСКА КЛАСА: ЛАДЕЊЕ A++ / ГРЕЕЊЕ A+","SEER КОЕФИЦИЕНТ 7,4","SCOP КОЕФИЦИЕНТ 4,2","ПРЕДВИДЕНО ОПТЕРЕТУВАЊЕ ЗА ВРЕМЕ НА ГРЕЕЊЕ 2,6 KW","НИВО НА ЗВУК ПРИ СТАНДАРДНИ УСЛОВИ (ВЕ) 52 DB / (НЕ) 58 DB","ПРОТОК НА ВОЗДУХ 420 M3/H,","КАПАЦИТЕТ НА ОДВЛАЖНУВАЊЕ 1,0 L/H","БУЧАВА - (ВЕ) 37 DB(A), (НЕ) 55 DB(A),","ПОДРАЧJЕ НА РАБОТА ОД -15 C ДО 50 C","ФУНКЦИОНАЛНОСТ: I FEEL ФУНКЦИJА, ТУРБО РЕЖИМ, АВТОРЕЖИМ, ИОНИЗАТОР, САМОДИJАГНОСТИКА НА ДЕФЕКТИ, SLEEP РЕЖИМ, SOFT СТАРТ, ТАJМЕР","ОСТАНАТО -LED ЕКРАН, БИО ФИЛТЕР, ФИЛТЕР ЗА ПРАШИНА, РАМНА ПРЕДНА МАСКА, ИСУШУВАЧ НА ПРЕОСТАНАТА ВЛАГА, ГРЕАЧ НА КОМПРЕСОР И КОНДЕНЗАТОР, ФУНЦКИJА НА ШТЕДЕЊЕ НА ЕНЕРГИJА, СТАРТУВАЊТЕ ЗА ВРЕМЕ НА НИЗОК НАПОН, ЗАШТИТЕН ВЕНТИЛ НА НАДВОРЕШНА ЕДИНИЦА,","ГРЕЕЊЕ И ЛАДЕЊЕ ЗА ВРЕМЕ НА ТЕМПЕРАТУРА -15TC,","WI-FI READY,","ДИМЕНЗИИ / ТЕЖИНА:","ВНАТРЕШНА ЕДИНИЦА:722 Х 290 Х 187 ММ / 7.4 КГ","НАДВОРЕШНА ЕДИНИЦА: 770 Х 300 Х 555 ММ / 26.6 КГ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TEHNO MARKET","NEO LC COMPACT WIFI INVERTER 12000BTU","25999.00 ден","https://d3mrte3vpewnxc.cloudfront.net/img/products/full/thumbs/neo-compact-lc.jpg","ПРЕПОРАЧАНА ПОВРШИНА 35 М2","ЕНЕРГЕТСКА КЛАСА (SEER/SKOP) A++ (6.1/4.0)","МАКСИМАЛЕН КАПАЦИТЕТ НА ЛАДЕЊЕ 3600 W","МАКСИМАЛЕН КАПАЦИТЕТ НА ГРЕЕЊЕ 4600 W","ПРОСЕЧНА МОЌНОСТ 3200/3500 W","ВЛЕЗНА МОЌНОСТ НА ЛАДЕЊЕ 997 W","ВЛЕЗНА МОЌНОСТ НА ГРЕЕЊЕ 970 W","ПРОТОК НА ВОЗДУХ 560 М3","КАПАЦИТЕТ НА ОДВЛАЖНУВАЊЕ 1.40 Л/Ч","НИВО НА БУЧАВОСТ 41 ДБ","РАБОТНА ТЕМПЕРАТУРА -15 ДО 43 СТЕПЕНИ ЦЕЛЗИУСОВИ","МАСА НА ВНАТРЕШНА ЕДИНИЦА 31 КГ","ФРЕОН R32","AUTO RESTART,Normal sleep mode,Led дисплеј,","АВТОМАТСКА КОНТРОЛА НА ТЕМПЕРАТУРА,","БРЗ СТАРТ,ТАЈМЕР,","I Feel Функција,САМОДИЈАГНОСТИКА","ФИЛТРИ- БИО ФИЛТЕР, ФИЛТЕР ЗА ПРАШИНА","WIFI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TEHNO MARKET","GREE Charmo Premium 12000btu wi-fi( K6DNA1D/I-K6DNA1D/O","26999.00 ден","https://d3mrte3vpewnxc.cloudfront.net/img/products/full/thumbs/charmo..jpg","ЕНЕРГЕТСКА КЛАСА (SEER/SCOP):A++ (6.1/4.0)","МАКСИМАЛЕН КАПАЦИТЕТ НА ЛАДЕЊЕ:3600.00 W","МАКСИМАЛЕН КАПАЦИТЕТ НА ГРЕЕЊЕ:4000.00 W","ПРОСЕЧНА МОЌНОСТ:3200/3400 W","ВЛЕЗНА МОЌНОСТ ЛАДЕЊЕ:991 W","ВЛЕЗНА МОЌНОСТ ГРЕЕЊЕ:916 W","ПРОТОК НА ВОЗДУХ:590.00 m3","КАПАЦИТЕТ НА ОДВЛАЖНУВАЊЕ:1.00 l/h","НИВО НА БУЧАВА:41.00 dB","РАБОТНА ТЕМПЕРАТУРА:ОД -15 ℃ ДО 43 ℃","МАСА ВНАТРЕШНА ЕДИНИЦА:8.00 kg","МАСА НАДВОРЕШНА ЕДИНИЦА:25.00 kg","ПРЕПОРАЧАНА ПОВРШИНА:до 30 м2","ФРЕОН:R32","ФИЛТРИ:Филтер за прашина,Плазма филтер","ДИМЕНЗИИ НАДВ. ЕДИНИЦА:732 X 555 X 330 mm","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TEHNO MARKET","VIVAX COOL 12000BTU ACP-12PT35AEHs R290 мобилен клима уред","25999.00 ден","https://d3mrte3vpewnxc.cloudfront.net/img/products/full/thumbs/09062022102748p-12pt35aehs-r290-slika_643_364.jpg","ЕНЕРГЕТСКА КЛАСА (EER/COP): A (2.6 / 2,8 )","ТИП КОМПРЕСОР :ИНВЕРТЕР","МАКСИМАЛЕН КАПАЦИТЕТ НА ЛАДЕЊЕ: 3520 W","МАКСИМАЛЕН КАПАЦИТЕТ НА ГРЕЕЊЕ : 2930 W","ВЛЕЗНА МОЌНОСТ ЛАДЕЊЕ: 1350 W","ВЛЕЗНА МОЌНОСТ ГРЕЕЊЕ : 1045 W","ПРОТОК НА ВОЗДУХ: 420 M³/H","КАПАЦИТЕТ НА ОДВЛАЖНУВАЊЕ: 1 L/H","НИВО НА БУЧАВА: 51 DB (A)","МАСА ВНАТРЕШНА ЕДИНИЦА: 33.2 KG","ПРЕПОРАЧАНА ПОВРШИНА: 35 M","ФРЕОН: R290","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TEHNO MARKET","NEO Planet G12R32 -25 Inverter wifi 12000Btu","27999.00 ден","https://d3mrte3vpewnxc.cloudfront.net/img/products/full/thumbs/aphro.jpg","Модел: G12R32 Planet","ПРЕПОРАЧАНА ПОВРШИНА 35 М2","ЕНЕРГЕТСКА КЛАСА (SEER/SKOP) A++(7.1/4.1)","МАКСИМАЛЕН КАПАЦИТЕТ НА ЛАДЕЊЕ 4300 W","МАКСИМАЛЕН КАПАЦИТЕТ НА ГРЕЕЊЕ 4600 W","ПРОСЕЧНА МОЌНОСТ 3510/3810 W","ВЛЕЗНА МОЌНОСТ НА ЛАДЕЊЕ 962 W","ВЛЕЗНА МОЌНОСТ НА ГРЕЕЊЕ 953 W","ПРОТОК НА ВОЗДУХ 700 М3","КАПАЦИТЕТ НА ОДВЛАЖНУВАЊЕ 1.40 Л/Ч","НИВО НА БУЧАВОСТ 42 ДБ","РАБОТНА ТЕМПЕРАТУРА -25 ДО 50 СТЕПЕНИ ЦЕЛЗИУСОВИ","МАСА НА ВНАТРЕШНА ЕДИНИЦА 10,5 КГ","МАСА НА НАДВОРЕШНА ЕДИНИЦА 24,5 КГ","ДИМИНЗИИ ВНАТРЕШНА ЕДИНИЦА 849X289X215","ДИМЕНЗИИ НАДВОРЕШНА ЕДИНИЦА 732X555X330","ФРЕОН R32","ФИЛТРИ- БИО ФИЛТЕР, ФИЛТЕР ЗА ПРАШИНА","WIFI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TEHNO MARKET","NEO PLANET IQ -25 12000btu N12AQA25 inverter so WIFI","26999.00 ден","https://d3mrte3vpewnxc.cloudfront.net/img/products/full/thumbs/30062025111233planetiq.jpg","Модел: N12AQA25 NEO PLANET IQ","ПРЕПОРАЧАНА ПОВРШИНА 35 М2","ЕНЕРГЕТСКА КЛАСА (SEER/SKOP) A++(6.1/4.0)","МАКСИМАЛЕН КАПАЦИТЕТ НА ЛАДЕЊЕ 4100 W","МАКСИМАЛЕН КАПАЦИТЕТ НА ГРЕЕЊЕ 4200 W","ПРОСЕЧНА МОЌНОСТ 3500/3800 W","ВЛЕЗНА МОЌНОСТ НА ЛАДЕЊЕ 800 W","ВЛЕЗНА МОЌНОСТ НА ГРЕЕЊЕ 1000 W","ПРОТОК НА ВОЗДУХ 600 М3","КАПАЦИТЕТ НА ОДВЛАЖНУВАЊЕ 1.7 Л/Ч","НИВО НА БУЧАВОСТ 56 ДБ","РАБОТНА ТЕМПЕРАТУРА -25 ДО 49 СТЕПЕНИ ЦЕЛЗИУСОВИ","МАСА НА ВНАТРЕШНА ЕДИНИЦА 7,5 КГ","МАСА НА НАДВОРЕШНА ЕДИНИЦА 22,5 КГ","ДИМИНЗИИ ВНАТРЕШНА ЕДИНИЦА 761×296×199","ДИМЕНЗИИ НАДВОРЕШНА ЕДИНИЦА 705×530×280","ФРЕОН R32","ФИЛТРИ- БИО ФИЛТЕР, ФИЛТЕР ЗА ПРАШИНА","WIFI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TEHNO MARKET","GREE PULAR PREMIUM 120000BTU GWH12AGC-K6DNA1A-I/O-WIFY","27999.00 ден","https://d3mrte3vpewnxc.cloudfront.net/img/products/full/thumbs/fp6jld5b0gpv9vm4lo2asyuza7h44cupphwspfe9.jpg","ЕНЕРГЕТСКА КЛАСА (SEER/SCOP):A++ (6.5/4.1)","МАКСИМАЛЕН КАПАЦИТЕТ НА ЛАДЕЊЕ:3700.00 W","МАКСИМАЛЕН КАПАЦИТЕТ НА ГРЕЕЊЕ:4100.00 W","ПРОСЕЧНА МОЌНОСТ:3200/3400 W","ВЛЕЗНА МОЌНОСТ ЛАДЕЊЕ:933 W","ВЛЕЗНА МОЌНОСТ ГРЕЕЊЕ:872 W","ПРОТОК НА ВОЗДУХ:680.00 M3","КАПАЦИТЕТ НА ОДВЛАЖНУВАЊЕ:1.40 L/H","НИВО НА БУЧАВА:41.00 DB","РАБОТНА ТЕМПЕРАТУРА:ОД -15 ℃ ДО 43 ℃","МАСА ВНАТРЕШНА ЕДИНИЦА:10.00 KG","МАСА НАДВОРЕШНА ЕДИНИЦА:25.00 KG","ПРЕПОРАЧАНА ПОВРШИНА:ДО 35 М2","ФРЕОН:R32","ФИЛТРИ:ФИЛТЕР ЗА ПРАШИНА, COLDPLASMA ЈОНИЗАТОР","ДИМЕНЗИИ НАДВ. ЕДИНИЦА:732 X 550 X 330 MM","10 ГОДИНИ УСЛОВНА ГАРАНЦИЈА","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TEHNO MARKET","GREE PULAR ECO 12000BTU GWH12AGB-K6DNA1A/I WIFI redy","26999.00 ден","https://d3mrte3vpewnxc.cloudfront.net/img/products/full/thumbs/1rba01guhwdb5ann811sxqzgedilg3bzjrqvraez(1","ЕНЕРГЕТСКА КЛАСА (SEER/SCOP):A++ (6.1/4.0)","МАКСИМАЛЕН КАПАЦИТЕТ НА ЛАДЕЊЕ:3600.00 W","МАКСИМАЛЕН КАПАЦИТЕТ НА ГРЕЕЊЕ:4000.00 W","ПРОСЕЧНА МОЌНОСТ:3200/3400 W","ВЛЕЗНА МОЌНОСТ ЛАДЕЊЕ:991 W","ВЛЕЗНА МОЌНОСТ ГРЕЕЊЕ:916 W","ПРОТОК НА ВОЗДУХ:590.00 M3","КАПАЦИТЕТ НА ОДВЛАЖНУВАЊЕ:1.40 L/H","НИВО НА БУЧАВА:41.00 DB","РАБОТНА ТЕМПЕРАТУРА:ОД -15 ℃ ДО 43 ℃","МАСА ВНАТРЕШНА ЕДИНИЦА:8.00 KG","МАСА НАДВОРЕШНА ЕДИНИЦА:25.00 KG","ПРЕПОРАЧАНА ПОВРШИНА:ДО 35 М2","ФРЕОН:R32","ФИЛТРИ:ФИЛТЕР ЗА ПРАШИНА, COLDPLASMA ЈОНИЗАТОР","ДИМЕНЗИИ НАДВ. ЕДИНИЦА:732 X 550 X 330 MM","ГАРАНЦИЈА:10 ГОДИНИ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TEHNO MARKET","GREE PULAR WHITE PREMIUM 9000 BTU K6DNA1A/I-O","22999.00 ден","https://d3mrte3vpewnxc.cloudfront.net/img/products/full/thumbs/gwh09aga.jpg","ЕНЕРГЕТСКА КЛАСА (SEER/SCOP):A++ (6.6/4.0)","МАКСИМАЛЕН КАПАЦИТЕТ НА ЛАДЕЊЕ:2850.00 W","МАКСИМАЛЕН КАПАЦИТЕТ НА ГРЕЕЊЕ:2900.00 W","ПРОСЕЧНА МОЌНОСТ:2200/2400 W","ВЛЕЗНА МОЌНОСТ ЛАДЕЊЕ:590 W","ВЛЕЗНА МОЌНОСТ ГРЕЕЊЕ:590 W","ПРОТОК НА ВОЗДУХ:520.00 m3","КАПАЦИТЕТ НА ОДВЛАЖНУВАЊЕ:1.00 l/h","НИВО НА БУЧАВА:39.00 dB","РАБОТНА ТЕМПЕРАТУРА:ОД -15 ℃ ДО 43 ℃","МАСА ВНАТРЕШНА ЕДИНИЦА:7.50 kg","МАСА НАДВОРЕШНА ЕДИНИЦА:21.00 kg","ПРЕПОРАЧАНА ПОВРШИНА:до 20 м2","ФРЕОН:R32","ФИЛТРИ:Филтер за прашина, ColdPlasma јонизатор","ДИМЕНЗИИ НАДВ. ЕДИНИЦА:710 X 450 X 293 mm","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TEHNO MARKET","GREE PULAR ECO 9000BTU GWH09AGA","26999.00 ден","https://d3mrte3vpewnxc.cloudfront.net/img/products/full/thumbs/zsrqsazznqgfv6yiemyjkgwlbdq1mjer6jthpqld.jpg","ЕНЕРГЕТСКА КЛАСА (SEER/SCOP):A++ (6.5/4.0)","МАКСИМАЛЕН КАПАЦИТЕТ НА ЛАДЕЊЕ:3250.00 W","МАКСИМАЛЕН КАПАЦИТЕТ НА ГРЕЕЊЕ:3500.00 W","ПРОСЕЧНА МОЌНОСТ:2500/2800 W","ВЛЕЗНА МОЌНОСТ ЛАДЕЊЕ:720 W","ВЛЕЗНА МОЌНОСТ ГРЕЕЊЕ:750 W","ПРОТОК НА ВОЗДУХ:500.00 m3","КАПАЦИТЕТ НА ОДВЛАЖНУВАЊЕ:1.00 l/h","НИВО НА БУЧАВА:38.00 dB","РАБОТНА ТЕМПЕРАТУРА:ОД -15 ℃ ДО 43 ℃","МАСА ВНАТРЕШНА ЕДИНИЦА:7.50 kg","МАСА НАДВОРЕШНА ЕДИНИЦА:25.00 kg","ПРЕПОРАЧАНА ПОВРШИНА:до 25 м2","ФРЕОН:R32","ФИЛТРИ:Филтер за прашина, ColdPlasma јонизатор","ДИМЕНЗИИ НАДВ. ЕДИНИЦА:732 X 550 X 330 mm","10 ГОДИНИ УСЛОВНА ГАРАНЦИЈА","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TEHNO MARKET","VIVAX COOL 12000BTU ACP-12CH35AERI+ R32","29999.00 ден","https://d3mrte3vpewnxc.cloudfront.net/img/products/full/thumbs/22022022114710p-12ch35aeri-r32-slika_1496_843.jpg","ЕНЕРГЕТСКА КЛАСА (SEER/SCOP):A+++ (8.5/4.6)","МАКСИМАЛЕН КАПАЦИТЕТ НА ЛАДЕЊЕ:4308.00 W","МАКСИМАЛЕН КАПАЦИТЕТ НА ГРЕЕЊЕ:4381.00 W","ПРОСЕЧНА МОЌНОСТ:3517/3810 W","ВЛЕЗНА МОЌНОСТ ЛАДЕЊЕ:977 W","ВЛЕЗНА МОЌНОСТ ГРЕЕЊЕ:977 W","ПРОТОК НА ВОЗДУХ:584.00 m3","КАПАЦИТЕТ НА ОДВЛАЖНУВАЊЕ:1.20 l/h","НИВО НА БУЧАВА:39.50 dB","РАБОТНА ТЕМПЕРАТУРА:ОД -25 ℃ ДО 50 ℃","МАСА ВНАТРЕШНА ЕДИНИЦА:8.60 kg","МАСА НАДВОРЕШНА ЕДИНИЦА:26.70 kg","ПРЕПОРАЧАНА ПОВРШИНА:до 35 м2","ФРЕОН:R32","ФИЛТРИ:Јонизатор, Bio-филтер, Филтер за прашина","ДИМЕНЗИИ НАДВ. ЕДИНИЦА:765 X 555 X 303 mm","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
